AID	TEAM
aid=1325	TEAM_UNM
aid=504815	TEAM_UNM
aid=602198	TEAM_UNM
aid=1759	TEAM_UNM
aid=504463	TEAM_UNM
aid=2643	TEAM_UNM
aid=522	TEAM_SCRIPPS
aid=1437	TEAM_PENN
aid=2015	TEAM_NCGC
aid=2273	TEAM_UNM
aid=540284	TEAM_SCRIPPS
aid=602423	TEAM_BURNHAM
aid=2477	TEAM_BROAD
aid=588419	TEAM_SCRIPPS
aid=588472	TEAM_SCRIPPS
aid=2753	TEAM_VANDERBILT
aid=488843	TEAM_BROAD
aid=493193	TEAM_BROAD
aid=504477	TEAM_UNM
aid=504936	TEAM_UNM
aid=434994	TEAM_UNM
aid=2019	TEAM_UNM
aid=2808	TEAM_SCRIPPS
aid=1030	TEAM_NCGC
aid=2323	TEAM_NCGC
aid=540305	TEAM_BURNHAM
aid=488914	TEAM_BROAD
aid=588414	TEAM_BURNHAM
aid=1009	TEAM_UNM
aid=1769	TEAM_UNM
aid=2047	TEAM_UNM
aid=2515	TEAM_NCGC
aid=1568	TEAM_NCGC
aid=1814	TEAM_BROAD
aid=2025	TEAM_UNM
aid=624104	TEAM_BROAD
aid=488945	TEAM_BROAD
aid=489035	TEAM_SCRIPPS
aid=766	TEAM_UNM
aid=588829	TEAM_BROAD
aid=602155	TEAM_BROAD
aid=2625	TEAM_NCGC
aid=588368	TEAM_UNM
aid=588522	TEAM_UNM
aid=576	TEAM_UNM
aid=463170	TEAM_SCRIPPS
aid=1573	TEAM_NCGC
aid=1926	TEAM_SCRIPPS
aid=2049	TEAM_SCRIPPS
aid=504664	TEAM_SCRIPPS
aid=588683	TEAM_BROAD
aid=492985	TEAM_BURNHAM
aid=2462	TEAM_BROAD
aid=2830	TEAM_UNM
aid=588765	TEAM_UNM
aid=602336	TEAM_UNM
aid=2674	TEAM_UNM
aid=703	TEAM_UNM
aid=489017	TEAM_SCRIPPS
aid=504410	TEAM_SCRIPPS
aid=2458	TEAM_BROAD
aid=958	TEAM_NCGC
aid=2468	TEAM_BROAD
aid=2113	TEAM_NCGC
aid=463229	TEAM_BROAD
aid=588558	TEAM_BURNHAM
aid=624109	TEAM_BROAD
aid=765	TEAM_UNM
aid=449766	TEAM_UNM
aid=1212	TEAM_UNM
aid=1840	TEAM_UNM
aid=493050	TEAM_BROAD
aid=435009	TEAM_SCRIPPS
aid=907	TEAM_NCGC
aid=1478	TEAM_NCGC
aid=493226	TEAM_BROAD
aid=504415	TEAM_BROAD
aid=488881	TEAM_BURNHAM
aid=588594	TEAM_BURNHAM
aid=602262	TEAM_NCGC
aid=588417	TEAM_SCRIPPS
aid=2691	TEAM_BROAD
aid=2167	TEAM_SCRIPPS
aid=877	TEAM_PITT
aid=876	TEAM_PITT
aid=693	TEAM_PITT
aid=756	TEAM_PITT
aid=602146	TEAM_UNM
aid=624053	TEAM_NCGC
aid=2333	TEAM_BURNHAM
aid=2160	TEAM_SCRIPPS
aid=2759	TEAM_SCRIPPS
aid=2397	TEAM_BURNHAM
aid=449745	TEAM_BROAD
aid=1930	TEAM_VANDERBILT
aid=1137	TEAM_PENN
aid=623952	TEAM_VANDERBILT
aid=504854	TEAM_SRI
aid=2802	TEAM_SCRIPPS
aid=2280	TEAM_SCRIPPS
aid=564	TEAM_BURNHAM
aid=435014	TEAM_VANDERBILT
aid=2782	TEAM_NCGC
aid=2076	TEAM_NCGC
aid=595	TEAM_NCGC
aid=488961	TEAM_HOPKINS
aid=2601	TEAM_HOPKINS
aid=2834	TEAM_SRI
aid=801	TEAM_EMORY
aid=750	TEAM_BURNHAM
aid=1492	TEAM_NCGC
aid=449752	TEAM_BURNHAM
aid=435011	TEAM_BURNHAM
aid=2684	TEAM_BURNHAM
aid=588729	TEAM_SCRIPPS
aid=2568	TEAM_NCGC
aid=2605	TEAM_HOPKINS
aid=1835	TEAM_HOPKINS
aid=2024	TEAM_SRI
aid=624205	TEAM_SCRIPPS
aid=624399	TEAM_SCRIPPS
aid=624400	TEAM_SCRIPPS
aid=463088	TEAM_SCRIPPS
aid=2250	TEAM_BURNHAM
aid=504378	TEAM_NCGC
aid=624176	TEAM_SCRIPPS
aid=463253	TEAM_SCRIPPS
aid=770	TEAM_SRI
aid=964	TEAM_NCGC
aid=895	TEAM_NCGC
aid=504885	TEAM_HOPKINS
aid=493223	TEAM_HOPKINS
aid=434941	TEAM_HOPKINS
aid=2681	TEAM_NCGC
aid=602373	TEAM_NCGC
aid=602360	TEAM_NCGC
aid=989	TEAM_NCGC
aid=973	TEAM_NCGC
aid=659	TEAM_NCGC
aid=2227	TEAM_HOPKINS
aid=434937	TEAM_HOPKINS
aid=2406	TEAM_NCGC
aid=504526	TEAM_SRI
aid=492966	TEAM_SRI
aid=1230	TEAM_PENN
aid=1804	TEAM_SCRIPPS
aid=625	TEAM_VANDERBILT
aid=1861	TEAM_SCRIPPS
aid=485351	TEAM_BURNHAM
aid=2001	TEAM_BURNHAM
aid=530	TEAM_NCGC
aid=605	TEAM_NCGC
aid=450	TEAM_NCGC
aid=446	TEAM_NCGC
aid=588697	TEAM_SCRIPPS
aid=504633	TEAM_NCGC
aid=488745	TEAM_NCGC
aid=492975	TEAM_SCRIPPS
aid=492974	TEAM_SCRIPPS
aid=1822	TEAM_SCRIPPS
aid=1655	TEAM_BURNHAM
aid=2801	TEAM_BURNHAM
aid=822	TEAM_SRI
aid=555	TEAM_SRI
aid=588342	TEAM_NCGC
aid=493179	TEAM_NCGC
aid=2508	TEAM_NCGC
aid=624096	TEAM_SCRIPPS
aid=463100	TEAM_SCRIPPS
aid=1431	TEAM_PENN
aid=504367	TEAM_BURNHAM
aid=2649	TEAM_BURNHAM
aid=2451	TEAM_NCGC
aid=504397	TEAM_BROAD
aid=488788	TEAM_BROAD
aid=945	TEAM_NCGC
aid=580	TEAM_SRI
aid=645	TEAM_SRI
aid=572	TEAM_SRI
aid=794	TEAM_SCRIPPS
aid=716	TEAM_PENN
aid=684	TEAM_PENN
aid=832	TEAM_PENN
aid=1718	TEAM_VANDERBILT
